0,0,0
"
Germana
","
About, Edmond, 1828-1885","Aug 8, 2009"
"
Los Merodeadores de Fronteras
","
Aimard, Gustave, 1818-1883","Jul 14, 2014"
"
Historia de Venezuela, Tomo II
","
Aguado, Pedro de, active 16th century","Jun 8, 2012"
"
La nariz de un notario
","
About, Edmond, 1828-1885","Aug 23, 2008"
"
Reseña Veridica de la Revolución Filipina
","
Aguinaldo, Emilio, 1869-1964","Dec 9, 2004"
"
Las noches mejicanas
","
Aimard, Gustave, 1818-1883","Mar 25, 2017"
"
Historia de Venezuela, Tomo I
","
Aguado, Pedro de, active 16th century","Jun 8, 2012"
"
Novelas Cortas
","
Alarcón, Pedro Antonio de, 1833-1891","Apr 4, 2005"
"
Místicas; poesías
","
Adler, María Raquel, 1901-1974","Feb 15, 2020"
"
Tragedias
","
Aeschylus, 525 BCE-456 BCE","Aug 9, 2021"
"
Historia natural y moral de las Indias (vol 2 of 2)
","
Acosta, José de, 1540-1600","Nov 11, 2015"
"
Tratado de Ortografía Valenciana Clásica
","
Nebot Pérez, José, 1853-1914","Mar 10, 2020"
"
El Capitán VenenoThe Hispanic Series
","
Alarcón, Pedro Antonio de, 1833-1891","Aug 19, 2009"
"
El clavo
","
Alarcón, Pedro Antonio de, 1833-1891","Jan 25, 2022"
"
Cosas que fueron: Cuadros de costumbres
","
Alarcón, Pedro Antonio de, 1833-1891","Jan 25, 2020"
"
Novelas Cortas
","
Alarcón, Pedro Antonio de, 1833-1891","Apr 4, 2005"
"
El Niño de la Bola: Novela
","
Alarcón, Pedro Antonio de, 1833-1891","Mar 29, 2019"
"
Doctor Sutilis (Cuentos)
","
Alas, Leopoldo, 1852-1901","Feb 18, 2021"
"
La Regenta
","
Alas, Leopoldo, 1852-1901","Nov 16, 2005"
"
Su único hijo
","
Alas, Leopoldo, 1852-1901","Dec 17, 2005"
"
El Señor y los demás son Cuentos
","
Alas, Leopoldo, 1852-1901","Jun 9, 2020"
"
Nuevas poesías y evangélicascon un estudio del Dr. Alfredo Palacios
","
Almafuerte, 1854-1917","Nov 20, 2020"
"
El sombrero de tres picosHistoria verdadera de un sucedido que anda en romances escrita ahora tal y como pasó
","
Alarcón, Pedro Antonio de, 1833-1891","Jul 25, 2009"
"
El tratado de la pintura
","
Alberti, Leon Battista, 1404-1472","Jul 14, 2018"
"
Viajes por España
","
Alarcón, Pedro Antonio de, 1833-1891","Aug 14, 2008"
"
La Navidad en las Montañas
","
Altamirano, Ignacio Manuel, 1834-1893","Jan 1, 2004"
"
La transformación de las razas en América
","
Alvarez, Agustín, 1857-1914","Oct 18, 2008"
"
Viajes por Filipinas: De Manila á Albay
","
Alvarez Guerra, Juan, 1843-1905","May 1, 2004"
"
Viajes por Filipinas: De Manila á Marianas
","
Alvarez Guerra, Juan, 1843-1905","May 1, 2004"
